,Restaurant,Latitude,Longitude,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Cook_Time
0,ID_6321,39.26260512,-85.83737224,"Fast Food, Rolls, Burger, Salad, Wraps",20.0,50.0,3.5,12.0,4.0,30
1,ID_2882,39.77593257,-85.74058103,"Ice Cream, Desserts",10.0,50.0,3.5,11.0,4.0,30
2,ID_1595,39.25343575,-85.12377878,"Italian, Street Food, Fast Food",15.0,50.0,3.6,99.0,30.0,65
3,ID_5929,39.02984064,-85.33205,"Mughlai, North Indian, Chinese",25.0,99.0,3.7,176.0,95.0,30
4,ID_6123,39.88228385,-85.51740684,"Cafe, Beverages",20.0,99.0,3.2,521.0,235.0,65
5,ID_5221,39.37044062,-85.73951559999999,"South Indian, North Indian, Chinese",15.0,50.0,3.8,46.0,18.0,30
6,ID_3777,39.82180556,-85.00557692,"Beverages, Fast Food",15.0,50.0,3.7,108.0,31.0,30
7,ID_745,39.28032424,-85.14436284,"Chinese, Thai, Asian",65.0,50.0,4.0,1731.0,1235.0,45
8,ID_2970,39.26881632,-85.60216807,"Mithai, Street Food",10.0,50.0,3.9,110.0,26.0,30
9,ID_3474,39.87452148,-85.43996296,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",20.0,50.0,3.9,562.0,294.0,65
10,ID_5159,39.9283325,-85.16769125,"North Indian, Chinese, Mughlai",35.0,50.0,3.8,186.0,61.0,30
11,ID_1696,39.39713844,-85.13530029,"Chinese, Thai, Indonesian, Italian",80.0,50.0,4.2,1693.0,1239.0,45
12,ID_1156,39.30732483,-85.95007009999999,"Burger, Fast Food, Desserts, Beverages",15.0,50.0,,,,30
13,ID_354,39.691917700000005,-85.44103659,Beverages,5.0,0.0,3.8,184.0,128.0,45
14,ID_6891,39.65671842,-85.58876556,Fast Food,10.0,50.0,3.5,23.0,5.0,30
15,ID_6406,39.97728307,-85.093808,"Biryani, Mughlai",10.0,50.0,3.6,353.0,53.0,30
16,ID_2141,39.08688537,-85.86213009,Italian,10.0,50.0,,,,30
17,ID_3355,39.3169186,-85.03286776,"Chinese, North Indian, South Indian, Fast Food",20.0,50.0,3.7,139.0,47.0,30
18,ID_5262,39.32256304,-85.91417317,"Kerala, Bihari",15.0,50.0,,,,30
19,ID_8148,39.01537008,-85.48212577,South Indian,10.0,50.0,3.7,159.0,46.0,30
20,ID_1681,39.04035565,-85.07508699,"Chinese, North Indian, Rolls, Momos",20.0,99.0,2.8,67.0,23.0,45
21,ID_3994,39.26024791,-85.1826796,"North Indian, Rolls",15.0,50.0,3.9,387.0,160.0,45
22,ID_4012,39.50725946,-85.3282007,"North Indian, Chinese",25.0,50.0,3.0,5.0,2.0,30
23,ID_240,39.12819257,-85.51174157,"Biryani, North Indian",20.0,99.0,3.7,138.0,26.0,65
